label,youtube_id,time_start,time_end,split,is_cc
abseiling,_4YTwq0-73Y,44,54,train,0
"air drumming",_axE99QAhe8,26,36,train,0
"answering questions",_5W9Fxl_dFE,186,196,train,0
applauding,_LHpfh0rXjk,12,22,train,0
"applying cream",_-mM9e_yGog,67,77,train,0
archery,_Buw5qNQZto,30,40,train,0
"arm wrestling",_Lg6oKsuP0o,17,27,train,0
"arranging flowers",_3gsKrwe8Sg,153,163,train,0
"assembling computer",_1i9FTdOxao,88,98,train,0
auctioning,_64McxlS1ck,318,328,train,0
"baby waking up",_oADyQKOaqk,119,129,train,0
"baking cookies",_4oL_A1gWnA,659,669,train,0
"balloon blowing",_cRCgYlVkh0,30,40,train,0
bandaging,_eduRRbJ2PM,30,40,train,0
barbequing,_-lxAKTineA,85,95,train,0
bartending,_6EheA5xKXo,110,120,train,0
beatboxing,_UDH34qhGMg,96,106,train,0
"bee keeping",_Eh8tJJQnig,248,258,train,0
"belly dancing",_5BwgCeZ--w,48,58,train,0
"bench pressing",_837xlAuAD0,5,15,train,0
"bending back",_-3jARyyZN8,0,10,train,0
"bending metal",_bzR115xW20,16,26,train,0
"biking through snow",_8FefRzcWjg,183,193,train,0
"blasting sand",_2tN_EGlyaQ,0,10,train,0
"blowing glass",_5pbsyLWSio,19,29,train,0
"blowing leaves",_CBU_T8JGi0,177,187,train,0
"blowing nose",_JKOsbS8x5w,8,18,train,0
"blowing out candles",_cR6OPDU2Dw,2,12,train,0
bobsledding,_8MElhqjlic,15,25,train,0
bookbinding,_dAssII6vac,281,291,train,0
"bouncing on trampoline",_b3XHP2olJA,116,126,train,0
bowling,_2f3DMpL24o,4,14,train,0
"braiding hair",__4frZhaVDs,4,14,train,0
"breading or breadcrumbing",_2ZnViCaSwo,490,500,train,0
breakdancing,_5mJZ3w8xrQ,26,36,train,0
"brush painting",_6ZcY6sem3E,365,375,train,0
"brushing hair",_4j6onyuivc,4,14,train,0
"brushing teeth",_99gyAUUgy4,51,61,train,0
"building cabinet",_q1vd-ytbiA,172,182,train,0
"building shed",_1d4XfrX7_c,117,127,train,0
"bungee jumping",_CinNbxnhok,23,33,train,0
busking,__mSfyLv_Bo,49,59,train,0
"canoeing or kayaking",_49gtG4Q95c,381,391,train,0
capoeira,_6SwynXL7a0,25,35,train,0
"carrying baby",_6jpMTxRak0,103,113,train,0
cartwheeling,_hxeoQvSuic,128,138,train,0
"carving pumpkin",_cn9IisLkHs,12,22,train,0
"catching fish",_cjFFhS_sx4,24,34,train,0
"catching or throwing baseball",_5QE7kWjf_4,111,121,train,0
"catching or throwing frisbee",_9kxjrXouss,30,40,train,0
"catching or throwing softball",_qDpOePqdiI,32,42,train,0
celebrating,_HKhaJVitzs,178,188,train,0
"changing oil",_8h4w4Dr0rw,67,77,train,0
"changing wheel",_2KXAVB4M5o,8,18,train,0
"checking tires",_itQqFAxkpQ,19,29,train,0
cheerleading,_0OTKPU1E5w,139,149,train,0
"chopping wood",_7d78UQBpNk,11,21,train,0
clapping,_86MVJAAEDg,1,11,train,0
"clay pottery making",_BieI1S31tU,88,98,train,0
"clean and jerk",_ai0rs08uHQ,0,10,train,0
"cleaning floor",_b97u3Z7ED0,90,100,train,0
"cleaning gutters",_GSOgQbhJ6k,2,12,train,0
"cleaning pool",_e_k-B9t2CU,19,29,train,0
"cleaning shoes",_7YmmcNBeTU,267,277,train,0
"cleaning toilet",_jGEEGorZjg,28,38,train,0
"cleaning windows",_D5biNVIvnA,1,11,train,0
"climbing a rope",_OwqS4S82vE,1,11,train,0
"climbing ladder",_B4X3cxTu9w,15,25,train,0
"climbing tree",_De23DM1pso,461,471,train,0
"contact juggling",_Dh421Enwnw,43,53,train,0
"cooking chicken",_6oM1kN-CLI,115,125,train,0
"cooking egg",_qsTt3oZ3rE,288,298,train,0
"cooking on campfire",_lzNBnU4kD4,0,10,train,0
"cooking sausages",_pbeK2F52pY,37,47,train,0
"counting money",_EClUNKW0oM,241,251,train,0
"country line dancing",_0hmyfiUh1U,40,50,train,0
"cracking neck",_CMplhoIaIc,2,12,train,0
"crawling baby",_9H-9LC2myA,17,27,train,0
"crossing river",_6Ql6NWs0eM,31,41,train,0
crying,_B2oPdgY1nk,26,36,train,0
"curling hair",_-erblzPWjA,231,241,train,0
"cutting nails",_PNeaHzrYOc,19,29,train,0
"cutting pineapple",_Dd1lUCXDXw,55,65,train,0
"cutting watermelon",_acc4jVYGyY,44,54,train,0
"dancing ballet",_6VEY0lZyIw,79,89,train,0
"dancing charleston",_BK3cg_VjRY,6,16,train,0
"dancing gangnam style",_3Vdj58fmW4,21,31,train,0
"dancing macarena",_Bv1E2ZifjU,1,11,train,0
deadlifting,_UINUv7n8Cs,4,14,train,0
"decorating the christmas tree",_6XDfEX72tU,33,43,train,0
digging,_6sN2zOgg9g,39,49,train,0
dining,_8Cx4qB_MxU,167,177,train,0
"disc golfing",_H_EJhV5d0w,39,49,train,0
"diving cliff",_3ea530Qem8,3,13,train,0
dodgeball,_gKPgoFksDk,8,18,train,0
"doing aerobics",_ZujEyyrR_Q,263,273,train,0
"doing laundry",_e-VNVUBrro,4,14,train,0
"doing nails",_KPl2W5rJp8,471,481,train,0
drawing,_BYWOfLE8fw,440,450,train,0
"dribbling basketball",_1HMW7qHBDw,9,19,train,0
drinking,--uWuXty1jw,27,37,train,0
"drinking beer",_0zMoHv0yK4,3,13,train,0
"drinking shots",_Lj2PYvvzLw,7,17,train,0
"driving car",_2fSxU6bdKw,0,10,train,0
"driving tractor",_f88s6vQsXI,194,204,train,0
"drop kicking",_5NqEQkH3Mw,5,15,train,0
"drumming fingers",_5GE3VMuIxs,4,14,train,0
"dunking basketball",_1v0uvhhT3Y,4,14,train,0
"dying hair",_9zgrMH5hzM,56,66,train,0
"eating burger",_3vZKUxeQtg,298,308,train,0
"eating cake",_0_iIWfN2BA,11,21,train,0
"eating carrots",_6jzSJIGx8I,8,18,train,0
"eating chips",_b0X1OLg31A,20,30,train,0
"eating doughnuts",_426yGBl5Fc,83,93,train,0
"eating hotdog",_vbY4MAapLk,25,35,train,0
"eating ice cream",_7t7By0T37Y,14,24,train,0
"eating spaghetti",_BJ-oYP106Q,3,13,train,0
"eating watermelon",_4ak_NxQ2LY,0,10,train,0
"egg hunting",_v2TrbzMAd4,17,27,train,0
"exercising arm",_IUPuK0l2WA,9,19,train,0
"exercising with an exercise ball",0GC584HX6XU,42,52,train,0
"extinguishing fire",_gI8VvxsmDw,48,58,train,0
faceplanting,_4MQQrk6CbE,10,20,train,0
"feeding birds",_dRMQHko4js,32,42,train,0
"feeding fish",_7oVa8EMee0,30,40,train,0
"feeding goats",_EFNrynmQbA,14,24,train,0
"filling eyebrows",_-Z6R8QxNxM,1,11,train,0
"finger snapping",_2siYuJc2zw,8,18,train,0
"fixing hair",_Gpt74onMq8,16,26,train,0
"flipping pancake",_kWxjajAxKU,175,185,train,0
"flying kite",_6HidsbrUEE,27,37,train,0
"folding clothes",_6wMS4DEGcc,39,49,train,0
"folding napkins",__0muxHV-Uw,43,53,train,0
"folding paper",_55ZGDP8Dxw,52,62,train,0
